N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
162,SK네트웍스,"4,980",60,-1.19%,"2,500","12,360","248,188",11.99,"357,159",-42.20,-5.85,
163,메리츠금융지주,"9,220",40,+0.44%,500,"12,356","134,011",7.93,"34,868",3.06,15.26,
164,TIGER 단기통안채,"100,665",5,0.00%,0,"12,335","12,254",5.94,"58,233",N/A,N/A,
165,KG동부제철,"12,100","1,300",-9.70%,"5,000","12,101","100,009",0.12,"294,200",12.62,-7.44,
166,KODEX 인버스,"5,405",50,+0.93%,0,"12,091","223,700",1.61,"36,798,990",N/A,N/A,
167,두산솔루스,"39,400",700,-1.75%,100,"12,052","30,590",8.14,"193,895",87.36,N/A,
168,현대미포조선,"30,100",200,-0.66%,"5,000","12,023","39,942",13.27,"108,828",20.12,2.31,
169,대우건설,"2,885",40,-1.37%,"5,000","11,991","415,623",10.10,"1,682,330",6.53,8.80,
170,지누스,"83,000","1,700",-2.01%,500,"11,958","14,407",18.78,"52,420",15.10,26.32,
171,녹십자홀딩스,"25,350",150,-0.59%,500,"11,922","47,028",7.03,"118,956",36.01,0.37,
172,파미셀,"19,350",0,0.00%,500,"11,602","59,959",7.24,"3,011,171",189.71,8.78,
173,KODEX 200TR,"10,095",110,-1.08%,0,"11,569","114,600",20.16,"182,232",N/A,N/A,
174,금호타이어,"4,010",20,-0.50%,"5,000","11,519","287,260",4.36,"948,581",-8.23,-3.30,
175,현대위아,"42,300",400,-0.94%,"5,000","11,504","27,195",10.84,"254,011",18.25,1.80,
176,코오롱인더,"41,300","1,350",+3.38%,"5,000","11,142","26,979",16.20,"674,693",7.11,1.58,
177,코스맥스,"109,500","5,500",+5.29%,500,"11,004","10,050",23.32,"274,583",28.55,10.45,
178,한국콜마,"47,450",950,+2.04%,500,"10,857","22,881",25.36,"194,242",49.32,6.39,
179,신세계인터내셔날,"150,000","2,500",-1.64%,"5,000","10,710","7,140",4.72,"30,611",17.29,12.98,
180,이노션,"52,700",300,-0.57%,500,"10,540","20,000",28.64,"54,113",15.77,9.88,
181,롯데관광개발,"15,200",250,-1.62%,500,"10,530","69,276",6.39,"212,719",-23.07,-4.77,
182,드림텍,"16,850","1,000",-5.60%,100,"10,463","62,095",23.17,"1,819,043",83.00,13.24,
183,대한유화,"157,000","3,500",-2.18%,"5,000","10,205","6,500",14.33,"51,652",12.17,6.11,
184,다우기술,"22,450","1,050",-4.47%,500,"10,073","44,867",22.85,"476,566",5.29,14.62,
185,후성,"10,550",50,+0.48%,500,"9,770","92,607",5.53,"5,702,170",-703.33,3.85,
186,KBSTAR 200,"31,590",290,-0.91%,0,"9,714","30,750",0.00,"438,495",N/A,N/A,
187,KODEX 코스닥150 레버리지,"13,520",785,-5.49%,0,"9,559","70,700",2.32,"29,378,171",N/A,N/A,
188,대상,"27,150",250,+0.93%,"1,000","9,407","34,648",18.16,"258,216",7.26,11.17,
189,SK가스,"101,000","2,500",-2.42%,"5,000","9,323","9,230",8.96,"52,337",2.68,9.85,
190,일진다이아,"65,500",200,+0.31%,"1,000","9,303","14,203",2.71,"1,319,208",132.06,8.06,
191,쿠쿠홈시스,"41,450",200,+0.48%,100,"9,300","22,437",4.24,"33,426",12.14,16.10,
192,JB금융지주,"4,645",40,-0.85%,"5,000","9,150","196,983",38.79,"274,237",2.81,10.36,
193,DGB금융지주,"5,400",30,-0.55%,"5,000","9,134","169,146",45.68,"531,597",2.94,7.31,
194,코리안리,"7,520",50,+0.67%,500,"9,052","120,369",27.69,"245,436",5.38,8.04,
195,휴켐스,"21,900",500,+2.34%,"1,000","8,952","40,879",9.19,"290,086",14.38,10.82,
196,현대홈쇼핑,"74,100","1,800",-2.37%,"5,000","8,892","12,000",24.24,"56,229",11.46,5.03,
197,롯데리츠,"5,150",50,-0.96%,500,"8,856","171,969",9.18,"224,257",57.22,1.80,
198,영풍,"477,500","1,500",-0.31%,"5,000","8,796","1,842",4.38,"1,679",3.94,7.40,
199,KODEX 단기채권PLUS,"102,685",5,0.00%,0,"8,765","8,536",0.00,"37,456",N/A,N/A,
200,아시아나항공,"3,905",40,-1.01%,"5,000","8,717","223,235",6.22,"1,408,659",-0.79,-90.67,
